epoch,lr-Adam,step,test_accuracy,test_dice,test_iou,test_loss,test_mse,train_accuracy_epoch,train_accuracy_step,train_dice_epoch,train_dice_step,train_iou_epoch,train_iou_step,train_loss_epoch,train_loss_step,train_mse_epoch,train_mse_step,val_accuracy,val_dice,val_iou,val_loss,val_mse
,0.001,0,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,0.9377914667129517,,0.00016016015433706343,,8.008649456314743e-05,,1.840372920036316,,0.10651174187660217,,,,,
0,,19,,,,,,,0.9830621480941772,,0.0,,0.0,,1.7742795944213867,,0.04337506741285324,,,,,
0,,29,,,,,,,0.9899952411651611,,0.0,,0.0,,1.7523465156555176,,0.02496122382581234,,,,,
0,,39,,,,,,,0.998026967048645,,0.0,,0.0,,0.737478494644165,,0.00997321680188179,,,,,
0,,48,,,,,,,,,,,,,,,,0.9992502331733704,0.0,0.0,0.9136054515838623,0.003846533130854368
0,,48,,,,,,0.9454647898674011,,0.0011144421296194196,,0.0005644229240715504,,1.3974604606628418,,0.06812341511249542,,,,,,
,0.001,49,,,,,,,,,,,,,,,,,,,,
1,,49,,,,,,,0.9970204830169678,,0.0,,0.0,,1.7203863859176636,,0.006819810252636671,,,,,
1,,59,,,,,,,0.9986099004745483,,0.0,,0.0,,0.716835618019104,,0.003682889509946108,,,,,
1,,69,,,,,,,0.996846079826355,,0.0,,0.0,,1.7060105800628662,,0.004410773981362581,,,,,
1,,79,,,,,,,0.9973219037055969,,0.0,,0.0,,1.7031018733978271,,0.0034537005703896284,,,,,
1,,89,,,,,,,0.9944071769714355,,0.0,,0.0,,1.694595217704773,,0.005952789913862944,,,,,
1,,97,,,,,,,,,,,,,,,,0.9822281002998352,0.0,0.0,1.6678962707519531,0.017348160967230797
1,,97,,,,,,0.9970961213111877,,0.0,,0.0,,1.3318796157836914,,0.0042853509075939655,,,,,,
2,,98,0.982652485370636,0.0,0.0,1.668642520904541,0.016950329765677452,,,,,,,,,,,,,,,
